names,scores,logfoldchanges,pvals,pvals_adj
ITGA9,10.095993,1.8511788,5.754554186589576e-24,7.711603489988246e-23
KATNAL2,4.672641,1.8309641,2.973515791464399e-06,1.2417878711400377e-05
NIPAL3,6.5186934,1.8281157,7.092238625272467e-11,4.319718879608261e-10
HHIP-AS1,15.179454,1.8271346,4.837914854766648e-52,1.7972270022808057e-50
MYO5B,4.4341183,1.8265005,9.244976532645124e-06,3.679692487053081e-05
ADCY5,7.2366767,1.8256254,4.598121015144406e-13,3.250707339099411e-12
ITPR3,3.9958575,1.8251737,6.446052458720658e-05,0.0002363268313117153
FBXO2,2.7298214,1.8199865,0.006336866017372785,0.018674347930609528
PEMT,34.760914,1.8198434,9.48228707874746e-265,5.474637954444341e-262
GALNT17,8.489529,1.8189461,2.074776871407677e-17,1.9249511696458303e-16
PRR7,9.655905,1.8166012,4.640427574403653e-22,5.574346309902403e-21
AL391069.3,2.7423859,1.8164549,0.006099465614645067,0.018014231984901954
SLC4A3,4.397208,1.8156275,1.0965221569252604e-05,4.332466286693719e-05
ANO4,14.160553,1.8145458,1.6072439611423905e-45,4.905457257173907e-44
SGCD,3.408883,1.8049786,0.0006522945126493825,0.0021605160546255926
MTCL1,2.9881942,1.8034177,0.0028063104289210556,0.00864701811393031
SHISAL2A,5.6877313,1.803303,1.2873811903955503e-08,6.524724749347455e-08
SLC18A2,7.3554587,1.8032879,1.9027223161154112e-13,1.3792870401911166e-12
CYP46A1,7.2672067,1.8018911,3.6699689001725e-13,2.6098498365532592e-12
ANKRD45,2.780199,1.8012099,0.005432560436058022,0.01613985284782118
C5,3.983468,1.8003817,6.791683109800424e-05,0.0002485709376940031
PIF1,6.5009737,1.7974856,7.980178040693803e-11,4.831869653522993e-10
AL078639.1,4.659235,1.7971078,3.173867213271458e-06,1.3212751866297176e-05
KLK8,6.016422,1.7925494,1.7831455864131933e-09,9.662947523713106e-09
AC027682.6,3.2645483,1.7886107,0.001096388109207476,0.0035454146639984576
RIMS1,3.4792035,1.7879225,0.0005029065568091536,0.0016883161004060657
CCDC113,5.437787,1.7869191,5.394645253710663e-08,2.5874317050204846e-07
PCYOX1L,3.13108,1.7799531,0.0017416478482837705,0.005491045144424134
NKAIN3,5.480682,1.7771726,4.2369016229001e-08,2.0513147217929854e-07
LRRC6,5.2452636,1.7733006,1.5605896098457487e-07,7.224961553233417e-07
PAEP,8.942291,1.7722347,3.8118344187831158e-19,3.882299421085501e-18
SERHL2,2.9942431,1.7672205,0.002751265278556824,0.008484011868771032
SNX32,2.4553528,1.7644356,0.014074639522049046,0.03978483119895402
NEFH,4.65205,1.7627623,3.286513208898443e-06,1.3659139255879207e-05
MACC1-AS1,4.1389976,1.759865,3.488263064178803e-05,0.0001314525894718346
LINC00311,3.0275214,1.7595849,0.0024656837165716273,0.007639925406680401
CHDH,24.107101,1.7593187,2.1057980118073913e-128,3.023729549285919e-126
AC120042.3,3.6880126,1.7591912,0.0002260124935845936,0.0007868698787323922
MIR193BHG,6.454075,1.7535391,1.0888191567024039e-10,6.527026885073268e-10
SDK2,11.510475,1.7530717,1.1683240866574245e-30,2.1259202503964022e-29
SRGAP3,3.000338,1.7510313,0.002696800264875784,0.008320688681864018
SPRN,3.2506204,1.7504549,0.0011515348978212736,0.003715939290093264
TGFBI,33.241325,1.750386,2.7245323242457135e-242,1.3018097293417494e-239
PCDH19,7.5853686,1.7482135,3.3154350577466064e-14,2.5138345213497044e-13
FN1,31.950933,1.7446951,5.243778993489789e-224,1.990696537624418e-221
TOX,5.5299783,1.7436352,3.2027003721218826e-08,1.5692439075780363e-07
DNAH9,3.027604,1.7425203,0.002465007460436528,0.007638684082643128
VAMP1,2.9330943,1.7420962,0.003356019467703787,0.010236117929614248
MBNL1-AS1,5.1785817,1.7409767,2.2357911307306684e-07,1.023970907386201e-06
ANPEP,11.612837,1.7394081,3.546515357023614e-31,6.627416054564762e-30
FOXRED2,9.223106,1.7389311,2.8861490298020916e-20,3.161416919482425e-19
CDK1,7.7652535,1.7351534,8.148210673553032e-15,6.422393697274606e-14
AL662796.1,7.7861695,1.7347375,6.9071170210764495e-15,5.4721822185560784e-14
